Station,Longitude,Latitude,Route
New Ashoka Gardan,23.25686264,77.42788696,SR8
Ashoka Gardan Thana,23.25845909,77.42745972,SR8
Pushpa Nagar Chouraha,23.25937271,77.42517853,SR8
Kammu Ka Bagh,23.25993347,77.41261292,SR8
High Secondary S,23.25947762,77.42211914,SR8
Railway Plat Form No 1,23.25993347,77.41261292,SR8
Grp Thana,23.263834,77.41313934,SR8
Railway Colony,23.26717186,77.41066742,SR8
Sai Mandir,23.26574707,77.41374207,SR8
Dwarka Nagar,23.26749039,77.41448212,SR8
State Bank Atm,23.27441025,77.41658783,SR8
Indus Tiraha,23.27950478,77.42023468,SR8
Coach Factory,23.28023338,77.42560577,SR8
Chiraiu Hospital,23.2658577,77.3105545,TR1
Nai Basti,23.29883385,77.34618378,TR1
Baisha Khedi,23.32309532,77.36976624,TR1
Bairagarh Kala,23.27388763,77.3223877,TR1
Bairagarh R/Station,23.27384949,77.33647919,TR1
Bairagarh Bus Stand,23.27164459,77.34195709,TR1
Halalpur Bus Stand,23.27326584,77.36399078,TR1
Lalghati,23.27306938,77.36846924,TR1
Vip Guest,23.27131844,77.37574005,TR1
Koh-E-Fiza,23.26911736,77.37727356,TR1
Collectorate,23.26358795,77.38312531,TR1
Sbi Chouraha,23.26187897,77.38874054,TR1
Royal Market,23.26150322,77.39205933,TR1
Peergate,23.2591362,77.39845276,TR1
Moti Masjid,23.25592232,77.39857483,TR1
Kamla Park,23.25196648,77.39789581,TR1
Polytechnic,23.24457741,77.39684296,TR1
Rang Mahal,23.24265099,77.39748383,TR1
Roshanpura,23.23756409,77.40115356,TR1
"New Market, Top&Town",23.23516846,77.40137482,TR1
Prakash Tarun Pushkar,23.23270798,77.41160583,TR1
1250 Hospital,23.23146248,77.41585541,TR1
Congress Bhawan,23.23126602,77.42153931,TR1
Vyapam,23.23079109,77.42773438,TR1
Board Office (Zone-2),23.23017502,77.43279266,TR1
Sargam Talkies,23.22702599,77.43547058,TR1
Habibganj R/Station,23.22126961,77.44203949,TR1
Habibganj Naka,23.21614647,77.44187164,TR1
Habibganj R/Station,23.22126961,77.44203949,TR1
Bjp Office,23.2233696,77.43634033,TR1
7 No. Stop,23.22806168,77.43450928,TR1
Subhash School,23.22320938,77.42995453,TR1
Bittan Mkt/Dhsera Maidan,23.22214699,77.43122864,TR1
Habibganj Thana,23.21846581,77.42897797,TR1
Baas Khedi,23.2146244,77.43126678,TR1
Vitthal Market/1100 Q.Chu.,23.21149635,77.43119812,TR1
11 No. Stop,23.21000099,77.43650818,TR1
Sai Board,23.20692825,77.43692017,TR1
12 No. Stop,23.20287895,77.4373703,TR1
Ishwar Nagar,23.19338036,77.44060516,TR1
Savoi Complex,23.19261169,77.4356308,TR1
Nehar,23.18682671,77.4367218,TR1
Tilak Nagar,23.18460274,77.43774414,TR1
Indus Garden,23.17773247,77.43774414,TR1
Rohit Nagar Ph-Ii,23.17072868,77.44285583,TR1
Aakriti Eco City,23.16909599,77.44210815,TR1
Nadra Bus Stand,23.2652874,77.40531921,TR2
Sabji Mandi,23.26443863,77.40631866,TR2
Alpana Tiraha,23.26436806,77.41020203,TR2
Bharat Talkies,23.26047707,77.41085815,TR2
Bharat Talkies 2,23.25906372,77.41123962,TR2
Patra Pul,23.25801277,77.41442108,TR2
Barkhedi Rc,23.25583267,77.41832733,TR2
Upaj Mandi,23.25497627,77.41954803,TR2
Bogda Pul,23.2527523,77.42272949,TR2
Jinsi Tiraha,23.250103,77.42388916,TR2
Subhash R/Fatak,23.24654961,77.43169403,TR2
Sbi Lho,23.24397087,77.43269348,TR2
Post Office,23.23867226,77.43112183,TR2
D B Mall,23.23369026,77.43019104,TR2
Board Office (Milan),23.23129463,77.43256378,TR2
Jyoti Tlk. Top & Toun,23.23279381,77.4342804,TR2
Kasturwa Nagar,23.23284149,77.44184113,TR2
Isbt,23.22909546,77.44200134,TR2
Dudh Deri,23.22451401,77.44213104,TR2
Habibganj R/Station,23.22126961,77.44203949,TR2
Habibganj Naka,23.21614647,77.44187164,TR2
Rrl,23.21052742,77.44392395,TR2
Narayan Nagar,23.20410919,77.44606018,TR2
University,23.1991787,77.44781494,TR2
Vidya Nagar,23.19544601,77.44924927,TR2
Nikhil Homes,23.1860981,77.45415497,TR2
Vrindavan Dawa,23.17489243,77.46015167,TR2
Jatkhedi,23.16836929,77.46434784,TR2
Misrod,23.16177368,77.46949005,TR2
Scope Collage,23.15298653,77.47598267,TR2
11 Miles,23.14868927,77.47901917,TR2
Fun City,23.1418457,77.48423004,TR2
Indus Town,23.13746643,77.48442078,TR2
Samardha,23.11799049,77.50205231,TR2
Mandideep,23.09870338,77.50500488,TR2
Heg Mandideep,23.09870338,77.50500488,TR2
Nariyal Kheda I,23.28458023,77.39729309,TR3
Nariyal Kheda Ii,23.28339767,77.39651489,TR3
Miltri Gate,23.28057861,77.39465332,TR3
Tila Jamal Pura,23.28057861,77.39743805,TR3
Gitanjali College,23.28072548,77.39923096,TR3
Jawahar Lal Nehru Hos,23.27911949,77.40231323,TR3
Big Bunglow,23.27762222,77.40331268,TR3
Kaji Camp,23.27482414,77.40249634,TR3
Sindi Colony,23.27091599,77.40044403,TR3
Bhopal Talkies,23.26757622,77.40079498,TR3
Nadra Bus Stand,23.2652874,77.40531921,TR3
Sabji Mandi,23.26443863,77.40631866,TR3
Alpana Tiraha,23.26436806,77.41020203,TR3
Bharat Talkies,23.26047707,77.41085815,TR3
Ajabghar,23.25993347,77.41261292,TR3
Lady Hospital,23.25993347,77.41261292,TR3
Jehangirabad,23.25225258,77.41423798,TR3
Phq,23.24808693,77.41262817,TR3
Police Control Room,23.24339485,77.4096756,TR3
Old Vidhan Sabha,23.242836,77.40871429,TR3
Roshanpura,23.23756409,77.40115356,TR3
New Market,23.23516846,77.40137482,TR3
Prakash Tarun Pushkar,23.23270798,77.41160583,TR3
1250 Hospital,23.23146248,77.41585541,TR3
Cangress Bhawan,23.23126602,77.42153931,TR3
Vyapam,23.23079109,77.42773438,TR3
Board Office(Milan),23.23130417,77.43261719,TR3
Jyoti Talkies,23.2332058,77.43466187,TR3
Isbt,23.22909546,77.44200134,TR3
Kasturwa Nagar,23.23284149,77.44184113,TR3
Goutam Nagar,23.23412514,77.44158173,TR3
Shanti Niketan,23.23427582,77.44258881,TR3
Janta Quatar,23.24155045,77.44004822,TR3
Sant Pitar Charch,23.24440575,77.4357605,TR3
Subhas Fatak,23.24682045,77.43184662,TR3
Prabhat Petrol Pump,23.25223732,77.43135071,TR3
Punjabi Bagh,23.25314903,77.43582153,TR3
Bijli Colony,23.25498009,77.4407959,TR3
Govind Pura,23.2472229,77.44438171,TR3
Industrial Gate,23.25288773,77.44729614,TR3
I.T.I.,23.25247955,77.44995117,TR3
J.K. Road Tiraha,23.25149345,77.45642853,TR3
