id,station,latitude,longitude,route,link
SR4-36,Housing Colony,23.2954483,77.40381622,SR4,"https://www.google.com/maps/place/23.2954483,77.40381622"
SR4-37,Karound Chouraha,23.30279541,77.40448761,SR4,"https://www.google.com/maps/place/23.30279541,77.40448761"
SR4-38,Bhopal Memorial Hs,23.30322456,77.41717529,SR4,"https://www.google.com/maps/place/23.30322456,77.41717529"
SR4-39,Peoples College No.2,23.30254173,77.42285919,SR4,"https://www.google.com/maps/place/23.30254173,77.42285919"
SR4-40,Peoples College No.1,23.30254173,77.42285919,SR4,"https://www.google.com/maps/place/23.30254173,77.42285919"
SR4-41,Over Bridge Circal,23.27264977,77.46592712,SR4,"https://www.google.com/maps/place/23.27264977,77.46592712"
SR5-1,Chiraiu Hospital,23.2658577,77.3105545,SR5,"https://www.google.com/maps/place/23.2658577,77.3105545"
SR5-2,Nai Basti,23.29883385,77.34618378,SR5,"https://www.google.com/maps/place/23.29883385,77.34618378"
SR5-3,Baisha Khedi,23.32309532,77.36976624,SR5,"https://www.google.com/maps/place/23.32309532,77.36976624"
SR5-4,Bairagarh Kala,23.27388763,77.3223877,SR5,"https://www.google.com/maps/place/23.27388763,77.3223877"
SR5-5,Bairagarh Station,23.27384949,77.33647919,SR5,"https://www.google.com/maps/place/23.27384949,77.33647919"
SR5-6,Bairagarh Bus Staind,23.27164459,77.34195709,SR5,"https://www.google.com/maps/place/23.27164459,77.34195709"
SR5-7,Halalpur Bus Staind,23.27383423,77.36322021,SR5,"https://www.google.com/maps/place/23.27383423,77.36322021"
SR5-8,Lalghati,23.27306938,77.36846924,SR5,"https://www.google.com/maps/place/23.27306938,77.36846924"
SR5-9,Vip Guest,23.27131844,77.37574005,SR5,"https://www.google.com/maps/place/23.27131844,77.37574005"
SR5-10,Koh-E-Fiza,23.26911736,77.37727356,SR5,"https://www.google.com/maps/place/23.26911736,77.37727356"
SR5-11,Collectorate,23.26358795,77.38312531,SR5,"https://www.google.com/maps/place/23.26358795,77.38312531"
SR5-12,Sbi Chouraha,23.26187897,77.38874054,SR5,"https://www.google.com/maps/place/23.26187897,77.38874054"
SR5-13,Royal Market,23.26150322,77.39205933,SR5,"https://www.google.com/maps/place/23.26150322,77.39205933"
SR5-14,Gpo,23.26335526,77.39372253,SR5,"https://www.google.com/maps/place/23.26335526,77.39372253"
SR5-15,Taj Mahal/Shahjanawad,23.26686478,77.39318848,SR5,"https://www.google.com/maps/place/23.26686478,77.39318848"
SR5-16,Bhopal Talkies,23.26757622,77.40079498,SR5,"https://www.google.com/maps/place/23.26757622,77.40079498"
SR5-17,Nadra Bus Stand,23.2652874,77.40531921,SR5,"https://www.google.com/maps/place/23.2652874,77.40531921"
SR5-18,Sabji Mandi,23.26443863,77.40631866,SR5,"https://www.google.com/maps/place/23.26443863,77.40631866"
SR5-19,Alpana Tiraha,23.26436806,77.41020203,SR5,"https://www.google.com/maps/place/23.26436806,77.41020203"
SR5-20,Bharat Talkies,23.26047707,77.41085815,SR5,"https://www.google.com/maps/place/23.26047707,77.41085815"
SR5-21,Ajabghar,23.25993347,77.41261292,SR5,"https://www.google.com/maps/place/23.25993347,77.41261292"
SR5-22,Lady Hospital,23.25993347,77.41261292,SR5,"https://www.google.com/maps/place/23.25993347,77.41261292"
SR5-23,Jehangirabad,23.25225258,77.41423798,SR5,"https://www.google.com/maps/place/23.25225258,77.41423798"
SR5-24,Phq,23.24808693,77.41262817,SR5,"https://www.google.com/maps/place/23.24808693,77.41262817"
SR5-25,Police Control Room,23.24339485,77.4096756,SR5,"https://www.google.com/maps/place/23.24339485,77.4096756"
SR5-26,Old Vidhan Sabha,23.242836,77.40871429,SR5,"https://www.google.com/maps/place/23.242836,77.40871429"
SR5-27,Airtel Office (Malviya Nagar),23.24048996,77.40636444,SR5,"https://www.google.com/maps/place/23.24048996,77.40636444"
SR5-28,Birla Mandir,23.2376461,77.4083786,SR5,"https://www.google.com/maps/place/23.2376461,77.4083786"
SR5-29,New Vidhan Sabha,23.23908615,77.4129715,SR5,"https://www.google.com/maps/place/23.23908615,77.4129715"
SR5-30,Vallabh Bhavan,23.23661804,77.41780853,SR5,"https://www.google.com/maps/place/23.23661804,77.41780853"
SR5-31,New Court,23.23664093,77.42002869,SR5,"https://www.google.com/maps/place/23.23664093,77.42002869"
SR5-32,Naramda Bhavan,23.23502922,77.42811584,SR5,"https://www.google.com/maps/place/23.23502922,77.42811584"
SR5-33,D.B.Mall,23.23370171,77.43018341,SR5,"https://www.google.com/maps/place/23.23370171,77.43018341"
SR5-34,Board Office(Milan),23.23130417,77.43261719,SR5,"https://www.google.com/maps/place/23.23130417,77.43261719"
SR5-35,Jyoti Tlk. Top & Toun,23.23279381,77.4342804,SR5,"https://www.google.com/maps/place/23.23279381,77.4342804"
SR5-36,Kasturba Nagar,23.23077965,77.44007874,SR5,"https://www.google.com/maps/place/23.23077965,77.44007874"
SR5-37,Isbt,23.22909546,77.44200134,SR5,"https://www.google.com/maps/place/23.22909546,77.44200134"
SR5-38,Duth Deri,23.22394371,77.44197083,SR5,"https://www.google.com/maps/place/23.22394371,77.44197083"
SR5-39,Kasturba Hospital,23.2238903,77.44543457,SR5,"https://www.google.com/maps/place/23.2238903,77.44543457"
SR5-40,Anna Nagar,23.2317276,77.44631958,SR5,"https://www.google.com/maps/place/23.2317276,77.44631958"
